target,dataset,model,feature,times_selected,selection_rate
2-clases,bow,svc,seis_std_s6,2,0.4
2-clases,bow,svc,tratamiento_mean_s2,2,0.4
2-clases,bow,svc,corrupción cuales_cum_s2,2,0.4
2-clases,bow,svc,públicos así_delta_cum_s6,2,0.4
2-clases,bow,svc,49_mean_s6,2,0.4
2-clases,bow,svc,mencionadas_diff_s6,2,0.4
2-clases,bow,svc,empíricos_std_s8,2,0.4
2-clases,bow,svc,imparcial_cum_s2,2,0.4
2-clases,bow,svc,eficacia_mean_s6,2,0.4
2-clases,bow,svc,martín_mean_s8,2,0.4
2-clases,bow,svc,participativa_delta_cum_s3,2,0.4
2-clases,bow,svc,especial atención_delta_cum_s8,2,0.4
2-clases,bow,svc,tramitar_diff_s8,2,0.4
2-clases,bow,svc,contempla_std_s3,2,0.4
2-clases,bow,svc,aislado_mean_s8,2,0.4
2-clases,bow,svc,establecen_mean_s8,2,0.4
2-clases,bow,svc,dir_delta_cum_s8,2,0.4
2-clases,bow,svc,dir_delta_cum_s9,2,0.4
2-clases,bow,svc,significan_delta_cum_s3,2,0.4
2-clases,bow,svc,evalúa_delta_cum_s8,2,0.4
2-clases,bow,svc,entró_mean_s3,2,0.4
2-clases,bow,svc,entró vigor_mean_s3,2,0.4
2-clases,bow,svc,entró vigor_std_s3,2,0.4
2-clases,bow,svc,convirtió_cum_s6,2,0.4
2-clases,bow,svc,refieren_std_s8,2,0.4
2-clases,bow,svc,101_delta_cum_s3,2,0.4
2-clases,bow,svc,obligación_mean_s8,2,0.4
2-clases,bow,svc,política social_cum_s9,2,0.4
2-clases,bow,svc,verificar_std_s8,2,0.4
2-clases,bow,svc,inferior_mean_s3,2,0.4
2-clases,bow,svc,marco normativo_mean_s8,2,0.4
2-clases,bow,svc,convenciones internacionales_mean_s4,2,0.4
2-clases,bow,svc,marco normativo_std_s8,2,0.4
2-clases,bow,svc,regulada_mean_s3,2,0.4
2-clases,bow,svc,regulada_std_s3,2,0.4
2-clases,bow,svc,poder beneficio_std_s8,2,0.4
2-clases,bow,svc,corrupción implica_std_s8,2,0.4
2-clases,bow,svc,corrupción implica_mean_s8,2,0.4
2-clases,bow,svc,violenta_diff_s3,2,0.4
2-clases,bow,svc,práctica_cum_s1,2,0.4
2-clases,bow,svc,marco normativo_diff_s9,2,0.4
2-clases,bow,svc,expresa_cum_s2,2,0.4
2-clases,bow,svc,38_std_s6,2,0.4
2-clases,bow,svc,dir_cum_s9,2,0.4
2-clases,bow,svc,presentarse_cum_s7,2,0.4
2-clases,bow,svc,dispuesto_mean_s6,2,0.4
2-clases,bow,svc,dir_cum_s7,2,0.4
2-clases,bow,svc,completa_std_s6,2,0.4
2-clases,bow,svc,unir_cum_s9,2,0.4
2-clases,bow,svc,políticas nacionales_cum_s7,2,0.4
2-clases,bow,svc,administrativos_mean_s6,2,0.4
2-clases,bow,svc,administrativos_std_s6,2,0.4
2-clases,bow,svc,desarrollo social_std_s8,2,0.4
2-clases,bow,svc,ambientales_mean_s8,2,0.4
2-clases,bow,svc,aportar_std_s8,2,0.4
2-clases,bow,svc,martín_delta_cum_s3,2,0.4
2-clases,bow,svc,79_mean_s8,2,0.4
2-clases,bow,svc,investigar sancionar_mean_s10,2,0.4
2-clases,bow,svc,caldo cultivo_delta_cum_s9,2,0.4
2-clases,bow,svc,dio_mean_s8,2,0.4
2-clases,bow,svc,dio_std_s8,2,0.4
2-clases,bow,svc,tico_std_s8,2,0.4
2-clases,bow,svc,cuentan_mean_s8,2,0.4
2-clases,bow,svc,cuentan_std_s8,2,0.4
2-clases,bow,svc,reciban_mean_s8,2,0.4
2-clases,bow,svc,reciban_std_s8,2,0.4
2-clases,bow,svc,menos corrupción_cum_s5,2,0.4
2-clases,bow,svc,discurso_std_s5,2,0.4
2-clases,bow,svc,delictivos_diff_s2,2,0.4
2-clases,bow,svc,delictivos_delta_cum_s2,2,0.4
2-clases,bow,svc,reciban_diff_s8,2,0.4
2-clases,bow,svc,reglas juego_std_s8,2,0.4
2-clases,bow,svc,falsa_mean_s10,2,0.4
2-clases,bow,svc,debido proceso_cum_s2,2,0.4
2-clases,bow,svc,corrupción implica_diff_s8,2,0.4
2-clases,bow,svc,administrar_mean_s8,2,0.4
2-clases,bow,svc,menos corrupción_cum_s6,2,0.4
2-clases,bow,svc,requiera_cum_s2,2,0.4
2-clases,bow,svc,personas físicas_cum_s2,2,0.4
2-clases,bow,svc,involucrado_cum_s2,2,0.4
2-clases,bow,svc,participa_std_s6,2,0.4
2-clases,bow,svc,pudiendo_cum_s2,2,0.4
2-clases,bow,svc,ejerzan_delta_cum_s6,2,0.4
2-clases,bow,svc,sistemas_mean_s1,2,0.4
2-clases,bow,svc,penalización_std_s4,2,0.4
2-clases,bow,svc,91_std_s6,2,0.4
2-clases,bow,svc,prohibido_cum_s3,2,0.4
2-clases,bow,svc,martín_cum_s3,2,0.4
2-clases,bow,svc,contrario_mean_s6,2,0.4
2-clases,bow,svc,martín_cum_s2,2,0.4
2-clases,bow,svc,ordenamiento jurídico_diff_s6,2,0.4
2-clases,bow,svc,aplican_mean_s6,2,0.4
2-clases,bow,svc,49_std_s6,2,0.4
2-clases,bow,svc,capítulo_std_s6,2,0.4
2-clases,bow,svc,capacitar_delta_cum_s8,1,0.2
2-clases,bow,svc,testigos_mean_s8,1,0.2
2-clases,bow,svc,fomentar_delta_cum_s8,1,0.2
2-clases,bow,svc,convención interamericana_mean_s8,1,0.2
2-clases,bow,svc,testigos_std_s8,1,0.2
2-clases,bow,svc,transferencias_mean_s8,1,0.2
2-clases,bow,svc,transferencias_std_s8,1,0.2
2-clases,bow,svc,incluye_std_s8,1,0.2
2-clases,bow,svc,determinado_delta_cum_s8,1,0.2
2-clases,bow,svc,denominado_std_s8,1,0.2
2-clases,bow,svc,denominado_mean_s8,1,0.2
2-clases,bow,svc,corrupción cnucc_cum_s9,1,0.2
2-clases,bow,svc,materia_mean_s8,1,0.2
2-clases,bow,svc,convención interamericana_std_s8,1,0.2
2-clases,bow,svc,incluye_delta_cum_s8,1,0.2
2-clases,bow,svc,patrimonial_delta_cum_s8,1,0.2
2-clases,bow,svc,fines_delta_cum_s8,1,0.2
2-clases,bow,svc,corrupción cnucc_cum_s8,1,0.2
2-clases,bow,svc,denunciante_diff_s4,1,0.2
2-clases,bow,svc,opiniones_std_s3,1,0.2
2-clases,bow,svc,opiniones_mean_s3,1,0.2
2-clases,bow,svc,vemos_delta_cum_s8,1,0.2
2-clases,bow,svc,nacionales_delta_cum_s8,1,0.2
2-clases,bow,svc,responsables_delta_cum_s8,1,0.2
2-clases,bow,svc,materia_delta_cum_s8,1,0.2
2-clases,bow,svc,caso_std_s8,1,0.2
2-clases,bow,svc,cargo_delta_cum_s8,1,0.2
2-clases,bow,svc,promuevan_delta_cum_s8,1,0.2
2-clases,bow,svc,fortalezcan_delta_cum_s8,1,0.2
2-clases,bow,svc,aportar_mean_s8,1,0.2
2-clases,bow,svc,116_mean_s8,1,0.2
2-clases,bow,svc,116_std_s8,1,0.2
2-clases,bow,svc,multidimensional_cum_s10,1,0.2
