target,dataset,model,n_samples,n_features,n_classes,n_folds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,accuracy_all_folds,f1_all_folds,best_params_folds
2-clases,forms,logreg,18,18,2,5,0.9,0.20000000000000004,0.8666666666666666,0.26666666666666666,"[1.0, 0.5, 1.0, 1.0, 1.0]","[1.0, 0.3333333333333333, 1.0, 1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
2-clases,forms,svc,18,18,2,5,0.7833333333333333,0.19436506316151003,0.7466666666666666,0.2472964932132188,"[0.75, 0.5, 1.0, 1.0, 0.6666666666666666]","[0.7333333333333334, 0.3333333333333333, 1.0, 1.0, 0.6666666666666666]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
2-clases,robertuito,logreg,18,420,2,5,0.3,0.21473497877875208,0.21000000000000002,0.128062484748657,"[0.25, 0.0, 0.25, 0.3333333333333333, 0.6666666666666666]","[0.2, 0.0, 0.2, 0.25, 0.4]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 15}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,robertuito,svc,18,420,2,5,0.3333333333333333,0.18257418583505539,0.26666666666666666,0.16158932858054428,"[0.5, 0.0, 0.5, 0.3333333333333333, 0.3333333333333333]","[0.5, 0.0, 0.3333333333333333, 0.25, 0.25]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
2-clases,bow,logreg,18,10,2,5,0.95,0.09999999999999999,0.9466666666666667,0.10666666666666666,"[0.75, 1.0, 1.0, 1.0, 1.0]","[0.7333333333333334, 1.0, 1.0, 1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
2-clases,bow,svc,18,10,2,5,1.0,0.0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
3-clases,forms,logreg,18,18,3,5,0.6666666666666666,0.09128709291752769,0.5422222222222222,0.17976665258805938,"[0.75, 0.5, 0.75, 0.6666666666666666, 0.6666666666666666]","[0.7777777777777777, 0.2222222222222222, 0.6, 0.5555555555555555, 0.5555555555555555]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 10, 'clf__class_weight': None, 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
3-clases,forms,svc,18,18,3,5,0.6,0.22607766610417562,0.5222222222222223,0.26666666666666666,"[0.5, 0.5, 1.0, 0.6666666666666666, 0.3333333333333333]","[0.5, 0.2222222222222222, 1.0, 0.5555555555555555, 0.3333333333333333]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
3-clases,robertuito,logreg,18,420,3,5,0.26666666666666666,0.1615893285805443,0.15555555555555556,0.0816496580927726,"[0.25, 0.25, 0.5, 0.3333333333333333, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.2222222222222222, 0.2222222222222222, 0.0]","[{'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 15}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 20}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 10}]"
3-clases,robertuito,svc,18,420,3,5,0.3333333333333333,0.09128709291752768,0.17111111111111107,0.028631330503833614,"[0.25, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333]","[0.13333333333333333, 0.16666666666666666, 0.2222222222222222, 0.16666666666666666, 0.16666666666666666]","[{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}]"
